ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
19,가지다,VERB,"to have, to own; to carry",持つ,"tener, obtener","mempunyai, memiliki; membawa",그녀는 아름다운 목소리를 가지고 있다.,She has a beautiful voice.,彼女は美しい声を持っている。,Ella tiene una voz hermosa.,Dia memiliki suara yang indah.,
20,각각,NOUN,each,"各々, それぞれ",cada, setiap,나머지 세 강의는 각각 한 시간씩이야. ,The other three classes are one hour each.,殘った三講義は各々一時間ずつだ。 ,Las otras tres clases restantes son de una hora cada una.,Tiga kelas lainnya adalah 1(satu) jam setiap kelas.,
21,간호사,NOUN,nurse,看護婦,enfermera,perawat,나는 어렸을 때는 간호사가 되고 싶었어.,I wanted to be a nurse when I was younger.,私は幼い頃は看護婦になりたかったの。,Deseé ser enfermera cuando era más joven.,Saya ingin menjadi seorang perawat ketika saya masih muda. ,
22,갈비,NOUN,ribs,カルビ,costillas,daging iga,갈비 좋아하세요?,Do you like ribs?,カルビ好きですか?,¿Te gustan las costillas?,Apakah anda suka daging iga?,
23,감기,NOUN,"cold, flu",風邪,resfriado,"pilek, influenza",감기에 걸린 것 같아요.,I think I have a cold.,風邪をひいたようです。,Creo que me he resfriado.,Saya pikir saya sakit pilek.,
24,감사 | 감사하다,"NOUN | VERB, ADJ","thanks, appreciation | to thank, to appreciate",感謝 | 感謝する,"gracias, agradecer, apreciar","terima kasih, penghargaan; berterimakasih, menghargai ",감사합니다.,Thank you.,ありがとうございます。,Gracias.,Terima kasih.,
25,감정,NOUN,"feeling, emotion",感情,"sentimiento, sensación",perasaan,그 사람을 보니까 이상한 감정이 들더라고.,I got a strange feeling when I saw him.,その人を見ると変な感情を感じた。,Tuve una sensación extraña cuando lo vi.,Saya merasa aneh ketika saya melihat dia.,
26,갑자기,ADV,suddenly,"急に, 突然","repentino, de repente",tiba-tiba,갑자기 날씨가 추워지고 있어.,It's getting cold suddenly.,急に気候が寒くなってきた。,De repente está haciendo frío.,Tiba-tiba terasa dingin.,
27,값,NOUN,price,値段,"precio, valor",harga; nilai,올해 채소 값이 올랐다.,The price of vegetables rose this year.,今年野菜の値段が上がった。,El precio de los vegetales ha subido este año.,Harga sayur-sayuran naik tahun ini,
28,강,NOUN,river,川,río,sungai,한강은 한국에서 가장 큰 강이다.,The Han river is the biggest river in Korea.,漢江は韓国で一番大きい川だ。,El río de Han es el río más grande de Corea.,Sungai Han adalah sungai terbesar di Korea.,
29,강조하다,VERB,"to emphasize, to highlight",強調する,"acentuar, enfatizar","menekankan, menegaskan",선생님은 결과보다 과정을 강조하셨어.,My teacher emphasized process over results.,先生は結果より過程を強調された。,Mi profesor acentuó más el proceso que los resultados.,Guru saya menekankan proses daripada hasil.,
30,강하다,ADJ,to be strong,強い,fuerte,kuat,우와!? 저 선수는 서브가 아주 강한데!,Wow! she has a very strong serve.,ウワー! あの選手はサーブがとても強いな!,¡Waw! Ella tiene un saque muy fuerte.,Wow! Dia mempunyai pukulan yang kuat.,
31,같다,ADJ,to be the same,同じだ,"mismo, igual",sama ,우리는 어렸을 때 같은 학교에 다녔다.,We went to the same school as children.,私たちは幼い頃同じ学校に通った。,Fuimos a la misma escuela de niños.,Kami pergi ke sekolah yang sama wakti masih anak-anak. ,
32,같이,ADV,together,一緒に,juntos,bersama - sama,같이 합시다.,Let's do it together.,一緒にしましょう。,Hagámoslo juntos.,"Mari, kita lakukan bersama-sama.",
33,개,NOUN,dog,犬,perro,anjing,개를 기르고 싶어요.,I'd like to raise a dog.,犬を飼いたいです。,Quisiera criar un perro.,Saya ingin memelihara anjing.,
34,개,NOUN,"piece, unit",個,cada,buah,이 사탕은 한 개에 100(백)원이다.,These candies cost a hundred won a piece.,このキャンディーは一つ百ウォンだ。,Estos caramelos costaron cien won cada uno.,Permen-permen ini harganya 100 won per buah.,
35,개월,NOUN,month,ヶ月,mes,bulan,혜안과 나는 결혼한 지 3개월 되었다.,Hyean and I have been married for three months.,へアンと私は結婚してから3ヶ月になった。,Hyean y yo nos casamos hace tres meses.,Saya dan Hyean telah menikah selama 3(tiga) bulan.,
36,거기,PRONOUN,there,そこ,allí,disana,거기에서 보자.,See you there.,そこで会おう。,Te veo allí.,Sampai jumpa disana.,
37,거리,NOUN,"street, avenue","通り, 町","calle, callejón",jalan,이 거리에는 차가 많다.,There are many cars in this street.,この通りには車が多い。,Hay muchos coches en esta calle.,Banyak sekali mobil dijalan ini. ,
38,거울,NOUN,mirror,鏡,espejo,cermin,거울을 보세요.,Look at yourself in the mirror.,鏡を見てください。,Mirar se en el espejo.,Lihatlah diri anda dicermin.,
39,거의,ADV,"almost, nearly",ほとんど,casi,hampir,거의 끝나갑니다. ,It's almost finished.,ほとんど終わりました。 ,Casi listo.,Hampir selesai.,
40,거짓말 | 거짓말하다,NOUN | VERB,lie | to tell a lie,嘘 | 嘘つく,mentira; mentir,kebohongan; berbohong,거짓말이 아니에요.,I'm not telling a lie.,嘘ではありません。,No estoy mintiendo.,Saya tidak berbohong.,
41,걱정 | 걱정하다,NOUN | VERB,"worry, anxiety | to worry about",心配 | 心配する,preocupación; preocupar,"cemas, khawatir; cemas tentang",오늘 걱정이 있어 보여요.,You look worried today.,今日何か心配そうに見えます。,Hoy pareces preocupado.,Kamu terlihat cemas hari ini. ,
42,건강 | 건강하다,NOUN | ADJ,health | to be healthy,健康 | 元気だ,salud; ser saludable,kesehatan; sehat ,술은 건강에 해롭다.,Alcohol is bad for your health.,酒は健康に有害だ。,El alcohol es malo para tu salud.,Alkohol tidak baik untuk kesehatan anda.,
43,건물,NOUN,building,建物,edificio,gedung,이 건물 뒤에 있습니다. ,It is at the back of this building.,この建物の後ろにあります。 ,Está en la parte posterior de este edificio.,Ini berada dibelakang gedung ini.  ,
44,걷다,VERB,to walk,歩く,caminar,berjalan,왜 그렇게 빨리 걷는 거야? ,Why are you walking so fast?,どうしてそのように早く歩くのか? ,¿Por qué estás caminando tan rápido?,Mengapa anda berjalan sangat cepat?,
45,걸다,VERB,to hang,掛ける,colgar,menggantung,옷을 옷걸이에 걸어라.,Hang clothes on a hanger.,服をハンガーにかけなさい。,Cuelga la ropa en la percha.,Gantung pakaian ini pada gantungan.,
46,걸리다,VERB,"to hang, to be hung",掛る,"colgar, ser colgado","menggantung, digantung ",벽에 그림이 걸려 있다.,A picture is hanging on the wall.,壁に絵がかかっている。,El cuadro está colgado en la pared.,Gambar itu dipajang di dinding. ,
47,걸어가다,VERB,to go on foot,歩いて行く,"ir a pie, caminar",pergi jalan kaki,걸어갈래요? 아니면 차로 갈래요? ,Would you like to go on foot or by car?,"歩いて行きますか,それとも車で行きますか? ",¿Prefieres ir a pie o en coche?,Anda ingin pergi jalan kaki atau naik mobil?,
48,걸어오다,VERB,to come on foot,歩いて来る,venir en pie,pulang jalan kaki ,우리가 얼마나 걸어온 거죠? ,How far have we come on foot?,私たちはどれぐらい歩いてきたのでしょうか? ,¿Cuánto hemos venido a pie?,Seberapa jauh kita telah pulang jalan kaki?,
49,검은색,NOUN,black (color),黒い色,negro,hitam,한 남자가 검은색 가방을 들고 있었다.,A man was carrying a black bag.,一人の男が黒いかばんを持っていた。,Un hombre llevaba un bolso negro.,Seorang laki-laki sedang membawa tas hitam.  ,
50,것,NOUN,"thing, one","こと, もの， の",otro,"barang, benda",같은 색으로 다른 것 좀 보여주세요.,Show me another one in the same color.,同じ色で他の物ちょっと見せて下さい。,Muéstrame otro en el mismo color.,Tunjukkan barang lain dengan warna yang sama. ,
51,게임,NOUN,game,ゲーム,juego,permainan,컴퓨터 게임 좋아하세요? ,Do you like computer games?,コンピューターゲーム好きですか? ,¿A ti te gustan los juegos de computadora?,Apakah anda menyukai permainan computer?,
52,겨울,NOUN,winter,冬,invierno,musim Dingin,한국의 겨울은 아주 추워요.,Winter in Korea sure is cold. ,韓国の冬はとても寒いです。,El invierno en Corea es muy frío.,Musim dingin di Korea pasti sangat dingin.,
53,결국,"NOUN, ADV","finally, after all",結局,"finalmente, al final, despues de todo",akhirnya,옆집 사는 부부 결국 이혼했어요.,The married couple next door finally got divorced.,隣に住んでる夫婦結局離婚したんです。,"La pareja de la puerta de al lado, finalmente se divorciaron.",Pasangan suami-istri disebelah rumah akhirnya bercerai.,
54,결정 | 결정하다,NOUN | VERB,decision | to decide,"決定 | 決定する, 決める",decisión; decidir,"keputusan, memutuskan",아직 결정하지 못했어요.,I haven't decided yet.,まだ決めてません。,No lo he decidido todavía.,Saya masih belum memutuskan.,
55,결혼 | 결혼하다,NOUN | VERB,marriage | to marry,結婚 | 結婚する,casamiento; casar,pernikahan; menikah,나랑 결혼해 줄래?,Will you marry me?,私と結婚してくれるか?,¿Te casarías conmigo?,Akankah anda menikahi saya?,
56,결혼식,NOUN,wedding ceremony,結婚式,(ceremonia de) boda,upacara pernikahan,그 남자 결혼식은 어디에서 하죠?,Where is he going to have the wedding ceremony?,その男の結婚式はどこでしますか?,¿En dónde se va a realizar la boda?,Dimana dia akan mengadakan upacara pernikahan?,
57,경기,NOUN,"game, match",競技,"partido, torneo",pertandingan,그 축구 경기는 무승부로 끝났어.,The soccer game ended in a tie.,そのサッカー競技は引き分けで終わったの。,El partido del fútbol terminó en un empate.,Pertandingan sepak bola itu berakhir seri.,
58,경우,NOUN,"case, scenario",場合,"caso, ocasión",keadaan,"어떤 경우에, 저는 성급하게 결론을 내립니다.","In some cases, I tend to jump to conclusions.","場合によっては, 私は性急に結論を下します。",En ciertos casos tomo las decisiones muy rápido.,Dalam keadaan tertentu saya cenderung langsung pada kesimpulan. ,
59,경찰,NOUN,police,警察,policía,polisi,경찰에 전화는 했어?,Did you call the police?,警察に電話はしたの?,¿Llamaste a policía?,Apakah anda menelepon polisi?,
60,경치,NOUN,scenery,景色,"paisaje, vista",pemandangan,경치가 정말 아름다워요.,The scenery is really beautiful.,景色が本当に美しいです。,El paisaje es realmente hermoso.,Pemandangannya sangat indah.,
61,경험,NOUN,experience,経験,experiencia,pengalaman,좋은 경험이 될 거야. ,It would be a good experience.,良い経験になるだろう。 ,Sería una buena experiencia.,Ini akan menjadi pengalaman yang bagus.,
62,계란,NOUN,egg,卵,huevo,telur,냉장고에 계란이 몇 개 있어요? ,How many eggs are there in the refrigerator?,冷蔵庫に卵がいくつありますか? ,¿Cuántos huevos hay en el refrigerador?,Ada berapa banyak telur dalam lemari pendingin?,
63,계속,ADV,continuously,"続けて, ずっと",continuamente,terus-menerus,계속 코피가 나요.,My nose bleeds continuously.,ずっと鼻血が出ます。,Mi nariz está sangrando continuamente.,Hidung saya terus-menerus berdarah.,
64,계시다,VERB,to be (honorific of 있다),いらっしゃる,estar (palabra referida a un mayor),to be (sebutan penghormatan pada 있다) ,안녕히 계세요.,Goodbye.,さようなら。,Adiós.,Selamat tinggal.,
65,계절,NOUN,season,季節,estación,musim,어떤 계절을 제일 좋아하세요?,What season do you like best?,どんな季節が一番好きですか?,¿Qué estación te gusta más?,Musim apa yang paling anda sukai?,
66,계획,NOUN,plan,計画,"plan, proyecto",rencana,특별한 계획 있으세요?,Any special plans?,特別な計画ありますか?,¿Algún plan en especial?,Ada rencana khusus?,
67,고기,NOUN,meat; fish,肉,carne,daging; ikan,고기 먹으러 가자.,Let's go have some meat.,肉料理食べに行こう。,Vayamos a comer carne.,Mari kita pergi makan daging.,
68,고등학교,NOUN,high school,高校,secundaria,sekolah menengah /lanjutan,나는 고등학교 때 제2외국어로 일본어를 배웠다.,I learned Japanese as a second foreign language in high school.,私は高校の時第2外国語で日本語を学んだ。,Aprendí japonés como segundo idioma extranjero en la secundaria.,Saya belajar bahasa Jepang sebagai bahasa asing ke 2(dua) di sekolah menengah.,
69,고등학생,NOUN,high school student,高校生,estudiante secundario,siswa sekolah menengah atas,나는 내년에 고등학생이 된다.,I'll be in high school next year.,私は来年高校生になる。,Seré un estudiante secundario el próximo año.,Saya akan di sekolah menengah atas tahun depan. ,
70,고맙다,ADJ,to be thankful,ありがとう,gracias,berterima kasih,고마워요.,Thank you.,ありがとう。,Gracias.,Terima kasih.,
71,고양이,NOUN,cat,猫,gato,kucing,내 생각에는 고양이인 것 같아.,I think it is the cat.,私が思うに、猫だ。,Yo pienso que es el gato.,Saya pikir ini kucingnya. ,
72,고통,NOUN,pain,苦痛,"dolor, pena",sakit,나는 고통을 참을 수 없었다.,I couldn’t endure the pain.,私は苦痛に耐えることができなかった。,No puedo aguantar el dolor.,Saya tidak dapat menahan rasa sakit. ,
73,고프다,ADJ,to be hungry,(腹が)すいている,tener hambre,lapar,나도 정말 배가 고파.,"I'm really hungry, too.",私も本当にお腹がすいている。,Yo también tengo hambre.,Saya juga sangat lapar.,
74,고향,NOUN,"birthplace, hometown","故郷, ふるさと","(ciudad, país) natal",kampung halaman,많은 한국인들이 추석에 고향으로 간다.,Many Koreans return to their hometown during Chusok.,多くの韓国人が秋夕の時故郷に帰る。,Muchos coreanos vuelven a su ciudad natal durante Chusok.,Banyak orang Korea kembali ke kampung halaman mereka selama Chusok. ,
75,곧,ADV,right away; soon,すぐ,pronto,segera,곧 갈게요.,I'll be there soon.,すぐ行きますよ。,Estaré allí pronto.,Aku akan segera kesana.,
76,곳,NOUN,"place, location",所,"lugar, espacio","tempat, lokasi",이 도시는 살기 좋은 곳이다.,This city is a good place to live.,この都市は住みやすい所だ。,Esta ciudad es un buen lugar a vivir.,Kota ini adalah tempat yang cocok untuk tinggal.,
77,공,NOUN,ball,"球, ボール","bola, pelota",bola,"미안, 내가 공을 너무 세게 던졌어.","Sorry, I threw the ball too hard.","ごめん, ボールを強く投げすぎた。","Perdón, lancé la bola demasiado fuerte.","Maaf, saya melempar bola terlalu keras. ",
78,공부 | 공부하다,NOUN | VERB,study | to study,勉強 | 勉強する,estudio; estudiar,belajar,"와, 공부할 게 많네요.",Wow! There's a lot to study.,"わ, 勉強する事が多いですね。",¡Waw! Hay mucho para estudiar.,Wow! banyak sekali yang harus dipelajari.,
79,공원,NOUN,park,公園,parque,taman,그 공원은 얼마나 커요?,How big is the park?,その公園はどれぐらい大きいですか?,¿Qué tan grande es el parque?,Berapa besar taman ini?,
80,공장,NOUN,"factory, plant",工場,"fábrica, planta",pabrik,나는 구두 공장에서 일했어.,I worked in a shoe factory.,私は靴工場で働いたの。,Trabajé en una fábrica de zapato.,Saya bekerja di pabrik sepatu.,
81,공중전화,NOUN,"pay phone, public phone",公衆電話,teléfono público,telepon umum,요즘은 공중전화를 보기가 힘들어.,"These days, it is hard to find a pay phone.",このごろは公衆電話をあまり目にしない。,"Actualmente, es duro encontrar un teléfono público.","Sekarang ini, sulit untuk menemukan telepon umum. ",
82,공책,NOUN,notebook,ノート,cuaderno,laptop,공책 좀 빌려줄래?,Can I borrow your notebook?,ノートちょっと貸してくれるか?,¿Me prestas tu cuaderno?,Dapatkah saya meminjam laptop anda?,
83,공항,NOUN,airport,空港,aeropuerto,bandar udara,인천 공항까지 좀 태워주실래요?,Can you give me a ride to Incheon airport?,仁川空港までちょっと乗せてくださいませんか?,¿Puede llevarme hasta el aeropuerto de Incheon?,Bisakah anda mengantar saya ke Bandara Incheon?,
84,공휴일,NOUN,national holiday,"公休日, 祝日",feriado nacional,hari libur nasional ,3월1일은 한국에서 공휴일이다.,March 1 is a national holiday in Korea.,3月1日は韓国で祝日だ。,El 1 de marzo es feriado nacional en Corea.,Tanggal 1 Maret adalah Hari Libur Nasional di Korea.,
85,과,NOUN,"lesson, chapter",課,"lección, unidad",bab,오늘 몇 과 할 차례지? ,What lesson are we on today?,今日は何科する番なの? ,¿Qué lección nos toca hoy?,Sampai bab apa kita hari ini?,
86,과일,NOUN,fruit,果物,fruta,buah ,토마토는 과일입니까? 아니면 채소입니까?,Is the tomato a fruit or a vegetable?,トマトは果物ですか? それとも野菜ですか?,¿Es el tomate una fruta o un vegetal?,Apakah tomat termasuk buah atau sayur,
87,과자,NOUN,cookie,お菓子,galleta,kue,과자 내 거 좀 남겨둬.,Leave some cookies for me.,私の分のお菓子ちょっと残しておいて。,Déjame algunas galletas para mí.,Sisakan beberapa kue untuk saya.,
88,관계,NOUN,relationship,関係,relación,hubungan,우리 관계도 이제 끝이야. ,Our relationship is over.,私たちの関係ももうお仕舞いだ。 ,Nuestra relación se terminó. ,Hubungan kita sudah berakhir.,
89,괜찮다,ADJ,to be okay,大丈夫だ,aceptable,baik-baik saja ,괜찮아요.,I'm OK.,大丈夫です。,Estoy bien.,Saya baik-baik saja.,
90,교과서,NOUN,textbook,教科書,libro (de texto),buku pelajaran,영어 교과서 10페이지를 펴세요.,Open your English textbook to page 10.,英語の教科書の10ページをあけてください。,Abra su libro de inglés en la página 10.,Buka buku pelajaran bahasa Inggris kalian halaman 10(sepuluh).,
91,교수,NOUN,professor,教授,profesor,dosen,나는 역사 교수가 되고 싶어.,I want to be a history professor.,私は歴史教授になりたい。,Deseo ser profesor de Historia.,Saya ingin menjadi seorang dosen sejarah.,
92,교실,NOUN,classroom,教室,"sala de clases, curso",ruang kelas,"이런, 지갑을 교실에 두고 왔어.","Oops, I left my wallet in the classroom.","あれ, 財布を教室に残して来た。","Oops, dejé mi billetera en la sala de clases.","Oops, saya meninggalkan dompet saya di ruang kelas.",
93,교통,NOUN,traffic; transportation,交通,transporte público,lalu-lintas; kendaraan,대중교통을 이용하는 게 좋을 거야.,It is better to use public transportation.,大衆交通を利用するほうが良いだろう。,Es mejor utilizar el transporte público.,Lebih baik menggunakan kendaraan umum. ,
94,교회,NOUN,church,教会,iglesia,gereja,매주 일요일 아침에 교회에 갑니다.,I go to church every Sunday morning.,毎週日曜の朝に教会へ行きます。,Voy a la iglesia cada domingo por la mañana..,Saya pergi ke gereja setiap minggu.,
95,구경,NOUN,sightseeing; looking around,見物,"mirar, explorar",melihat-lihat,그 사람은 가게를 구경만 하고 있었다.,The man was looking around the shop.,その人は店を見物ばかりしていた。,El hombre miraba alrededor de la tienda.,Laki-laki itu sedang melihat-lihat toko.,
96,구두,NOUN,shoes,靴,zapatos,sepatu,구두 닦아주세요.,Please shine my shoes.,靴を磨いてください。,"Lústreme los zapatos, por favor.",Tolong semirkan sepatu saya. ,
97,구름,NOUN,clouds,雲,nubes,"awan, mega",하늘에 구름 한 점 없다.,There are no clouds in the sky.,空に雲一点ない。,No hay nubes en el cielo.,Tidak ada banyak awan dilangit.,
98,군인,NOUN,"soldier, military personnel",軍人,"soldado, militar","tentara, anggota militer",한국에는 군인이 몇 명이나 있습니까?,How many soldiers are there in Korea?,韓国には軍人が何人いますか?,¿Cuántos soldados hay en Corea?,Ada berapa banyak tentara di Korea?,
99,권,NOUN,"volume, book (unit of counting books)",冊,"libro, tomo (unidad para contar libros)","jilid, buku (satuan untuk menghitung buku)",책은 몇 권이나 내셨어요? ,How many books have you published?,本は何冊出しましたか? ,¿Cuántos tomos has publicado?,Berapa jilid buku yang telah kamu terbitkan?  ,
100,귀,NOUN,ear,耳,oído ,telinga,왜 귀를 막는 거야?,Why are you plugging your ears?,どうして耳を防ぐのか?,¿Por qué estás tapando tus oídos?,Mengapa anda menyumbat telinga anda?,
101,귀엽다,ADJ,"to be cute, to be lovely",かわいい,"lindo, tierno ","manis, cantik",너는 웃을 때가 귀여워.,You're cute when you smile.,お前は笑う時が可愛い。,Eres lindo cuando sonríes.,Anda terliha manis saat tersenyum.,
102,그,DET,"the, that (modifier)",その,ese,"itu, itu (modifier) ",그 책 이리 줘봐.,Give me that book.,その本こちらによこしてみろ。,Dame ese libro.,Berikan buku itu.,
103,그,PRONOUN,he,"彼, その人",él,dia (laki – laki),그가 올까?,Will he come?,彼が来るだろうか?,¿Él vendrá?,Apakah dia akan datang?,
104,그것,PRONOUN,"it, that (pronoun)",それ,eso,#NAME?,그것 재미있겠다.,It sounds fun.,それ面白そう。,Eso suena divertido.,Sepertinya menyenangkan.,
105,그곳,PRONOUN,there,そこ,allí,disana,그곳 날씨는 어때요? ,How's the weather over there?,そこの天気はどうです? ,¿Cómo está el tiempo allí?,Bagaimana cuaca disana?,
106,그날,NOUN,that day,その日,ese día,hari itu,그날 밤 너는 뭘 하고 있었어?,What were you doing that night?,その晩お前は何をしていたの?,¿Qué hacías ese día por la noche?,Apa yang anda lakukan malam itu?,
107,그냥,ADV,just,そのまま; ただ,solo ,hanya,그냥 친구 사이에요. ,We're just friends.,ただの友達の仲です。 ,Somos solo amigos.,Kita hanya berteman. ,
108,그대로,ADV,as it is,そのまま,como lo es,seperti semula,그대로 내버려둬라.,Leave it as it is.,そのまま放っておきなさい。,Dejarlo como es.,Tinggalkan itu seperti semula. ,
109,그동안,NOUN,meanwhile,その間,durante,sementara itu,오랜만이네! 그동안 어떻게 지냈어? ,Long time no see! How have you been?,久しぶりだね! その間どうしていたの? ,¡Tanto tiempo sin verte! ¿Cómo has estado durante este tiempo?,Lama tidak jumpa! Bagaimana kabar anda?,
110,그때,NOUN,"(at) that time, then","あの時, その時",desde entonces,saat itu,그때 이후로 그녀를 본 적이 없다. ,I have not seen her since then.,あの時以降彼女を見た事がない。 ,No la he visto desde entonces.,Saya belum melihat dia sejak saat itu. ,
111,그래,INT,"yes, OK",そう; うん,"sí, está bien","iya, baik","같이 갈래? - 어, 그래.","Why not come along? - Oh, OK.","一緒に行く? - うん, そうだね。 ","¿Quieres venir? - Sí, está bien.","Mengapa tidak ikut serta? – Oh, baik. ",
112,그래도,ADV,"but, still",それでも,pero,"tetapi, masih",그 여자애는 키가 작아. 그래도 나보다는 커.,"She is short, but still taller than me.",その女の子は背が小さい。 それでも私よりは大きい。,"Ella es baja, pero todavia es más alta que yo. ","Dia pendek, tetapi masih lebih tinggi dari saya.",
113,그래서,ADV,"so, therefore",それで,"por lo tanto, asi que, por eso ","jadi, oleh karena itu",그래서 넌 그때 뭐라고 했니? ,So what did you say at that time?,それでお前はその時何と言ったの? ,"Por lo tanto, ¿qué es lo que has dicho?","Jadi, apa yang kamu katakan waktu itu? ",
114,그러니까,ADV,so,だから,asi que,jadi,나 늦을 거야. 그러니까 기다리지 말고 자.,I'll be back late. So don't wait up for me.,私は遅くなりそうだ。 だから待たずに寝なさい。,Regresaré tarde asi que no me esperen.,Saya akan pulang terlambat. Jadi jangan menunggu saya. ,
115,그러면,ADV,"and, if you do; well then",それでは,entonces ,"dan, kalau begitu; lalu",그러면 우리 금요일에 가요. ,"Well then, let's go there on Friday.",それでは私たち金曜日に行きましょう。 ,Entonces vayamos allí el viernes.,"Kalau begitu, Mari kita pergi kesana pada hari jum’at",
116,그런,DET,"such, like",そんな,"tal, eso ",seperti,그런 건 아무도 못 해.,Nobody can do such a thing.,そんなことは誰もできない。,Nadie puede hacer tal cosa.,Tak seorangpun bisa melakukan hal seperti itu.,
117,그런데,ADV,"well, by the way; however",ところで,"a propósito, pero",omong-omong,그런데 넌 뭐 하러 온 거야?,"By the way, what brings you here?",ところでお前は何をしに来たのか?,"¿A propósito, qué te trae por aquí?","Omong-omong, apa yang membawamu kesini?",
118,그럼,ADV,then,それでは,entonces ,lalu,그럼 거기서 보자.,Then I'll see you there.,それではそこで会おう。,Entonces te veré allí.,Lalu saya akan bertemu disana.,
119,그렇다,ADJ,"yes, to be so",そうだ,"si, es cierto, es verdad","Ya, benar",그렇습니다.,"Yes, it is.",そうです。,"Sí, lo es.","Ya, benar. ",
